id,name,topic,review,reviewType
343,dinagus,Спасение в вере,10,good
344,Сергей Паломанов,Вера в себя-великая вещь!,10,good
345,Lisa_Jackson,"«Надеюсь, что Тихий океан такой же голубой, как и в моих снах...»",10,good
346,Чеглов Николай,,10,good
347,bomba2,"Когда теряешь всякую надежду, наконец обретаешь свободу ©",,good
348,Lublyana,"Цените то, что у вас есть",10,good
349,nesterenko_k.livejournal.com,"о тюрьме, силе воли и свободе.",10,good
350,little Julia,Начни жить или начни умирать...,10,good
351,lady sotofa,"А книга оказалась проще. Однако, это странно.",10,good
352,Robert_A,Воля и Разум,,good
353,xkleo,"Стремиться, жить, бороться!",9,good
354,АнюткаПиратка,"Надежда — хорошая вещь, а хорошее — никогда не умирает.",,good
355,Geor-2,Поверь в себя,10,good
356,Roxes,Если ты действительно хочешь — у тебя все получится,,good
357,vk-5834882:Виктория Пинчук,Простота.,,good
358,the Passenger,Одно слово: свобода.,,good
359,авАААтар,"'Нет рабства безнадежнее, чем рабство тех рабов, себя кто полагает свободным от оков.' (Иоганн Вольфганг Гёте)",,good
360,DeeMel,История заключённого № 37927,,good
361,hleppp,Найти свой путь к свободе - это значит быть одним из самых счастливейших людей в мире,10,good
362,Oksya Queen,"Я надеюсь Энди сейчас там.Надеюсь, что смогу пересечь границу.Надеюсь увидеть моего друга и пожать ему руку.",,good
363,vk-65636020:Александр Рузаев,Оставь надежду всякий сюда входящий,9,good
364,Iren 2010,Парадокс,10,good
365,Martisha Adams,Он и мечтать не мог об этом…,9,good
366,эдвард руки ножницы,"Не важно, свободен ли ты физически, главное оставайся свободным морально.",,good
367,Un1q,"Фильм о человеке, который умел ждать… Очень долго…",,good
368,Sunhally,,10,good
369,Королева Пиратских островов,Выпил… убил - В ТЮРЬМУ! Романтика…,3,bad
370,Movie Striker,Искупление. Освобождение. Спасение,10,good
371,Markley,,10,good
372,marina357,We were here,,good
373,ugar,Смысл жизни на кинопленке,,good
374,Timmy_ru,Лучший,10,good
375,krastonet,"Людям нравятся фильмы о тюрьме - особенно тем, кто там не бывал...",,bad
376,il brutto,Экзистенциальная драма,,neutral
377,cicqo,Жуткая история о красивой жизни.,10,good
378,fatkitty,«Страх - это кандалы. Надежда - это свобода.» (с),10,good
379,FreeGi,"Надежда — это всё, что у нас есть…",,good
380,Raf-Kettle1,,,good
381,unthinkable,ЗАНИМАЙСЯ ЖИЗНЬЮ ИЛИ ЗАНИМАЙСЯ СМЕРТЬЮ,10,good
382,galileo1166,"Время - ничто, результат - всё!",10,good
383,Bearbear100,что может быть тяжелее говорить о совершенстве,10,good
384,Gerc0g,Разум и сердце,,neutral
385,bastila77,"«… Я надеюсь, что Тихий океан такой же синий, как мне снилось… Я надеюсь…»",,good
386,Лекс Картер,Повесть об идеальном человеке,,good
387,Posyechka,,10,good
388,hotfrost,Величие без пафоса.,,good
389,Gulid 13,'В тюрьме сказок не рассказывают! Тюрьма вообще не похожа на сказку!' ©,,good
390,Pround Soul,Хорошие вещи не умирают.,10,good
391,AlEExa,Brooks was here. So was Red.,,good
392,Максим Черный,Легендарный фильм,10,good
393,romanist13,Тяжелый стиль,9,good
394,LeonidT,О надежде!,,good
395,twitter:Norilova_Zhenya,Рита Хэйворт спасла Энди.,,good
396,miloevidenie2,"'Делай все, чтобы жить или все, чтобы умереть'.",,good
397,Forever Michael,"Славный парень. Но сквозняки ужасные. (Стивен Кинг, 'Рита Хейуорт или Побег из Шоушенка')",,good
398,Clarisse,"Спасибо, Рита Хейворт!",,good
399,diroldirol,Andy Dufrence прополз через реку дерьма и выполз чистым!...,10,good
400,Reiziger,"Сохранивший надежду и силы - достоин свободы, обретший свободу — счастлив.",10,good
401,ArKov,Время,10,good
402,billfay,"'Внутри человека есть место, до которого никто не может добраться. И оно твоё!'",9,good
403,qfly,,10,good
404,rinatkhamatov,Надежда в вере…,9,good
405,erica_drawen,"Если тюрьма не учит заключенного жить в обществе, она учит его жить в тюрьме.",,good
406,ALTair700,Надежда - это свобода.,10,good
407,sasha_misar,,10,good
408,Hunger,,,good
409,Катеринчик09,"Есть что-то внутри тебя, что нельзя потрогать, оно только твое. Это надежда (с).",,good
410,koiiik.livejournal.com,,10,good
411,11atos11,Кино про жизнь человеческую,9,good
412,Spectra62,Up,10,good
413,Oksana Malevich,Фильм надежды оправдывает.,10,good
414,Mary_sun,"'Надежда - хорошая вещь. Возможно, лучшая. А такие вещи никогда не умирают.'",10,good
415,Эллиот Рид,Он-тюремный человек.,10,good
416,Saffiya,«Я надеюсь...»,9,good
417,George_Banks,"«Помни, что надежда - хорошая вещь, возможно, даже лучшая из всех. Она не умирает».",10,good
418,Граф_иня,Фильм и книга,,good
419,Nusha93,Лучший фильм по Стивену Кингу.,,good
420,Low Si,Мои любимые фильмы #1,,good
421,Вандочка,Свобода.,10,good
422,Tristo,"Жизнь, дружба, мечта...",9,good
423,Злая Белоснежка,История о новом Робинзоне Крузо.,10,good
424,анимка,№1,,good
425,bezconechnost,"Он жил своей жизнью. Просто гулял, что выглядело здесь неестественным. Он прогуливался как по парку, как человек без забот, без срока.",,good
426,therose,Рита Хейворт и спасение из Шоушенка by Stephen King. Just the best.,,good
427,tatyana_c,Надеждой обретается свобода(с),10,good
428,vamshop,Свобода,,good
429,LoverVillain,Тюрьма было их все…,,good
430,Skoffild,"'Иногда время может резать, как острая бритва. Это была самая длинная ночь в моей жизни.' ©",,good
431,N1mR0d,Надежда,10,good
432,_Ray_,,10,good
433,cherity91,Страх - это кандалы...надежда - свобода!,,good
434,MORP,,10,good
435,Bad Bad Vad,«Занимайся жизнью или занимайся смертью.»,,good
436,Jay Jay,Надежда - самое лучшее из вещей. Она никогда не умирает,10,good
437,Велосипедистка,,,good
438,Sarah Michelle,,10,good
439,Priceless Lady,,9,good
440,stas8626,Надежда всегда остается с нами,,good
441,1sisky1pisky,«Надежда — самое лучшее из вещей. Она никогда не умирает»,10,good
442,usermame,Главное — оставаться человеком,,good
443,сержио де монтое,"Главное – не рассказ, а рассказчик.",10,good
444,Твой сон,Главное правильно выбрать: заниматься жизнью или заниматься смертью,,good
445,tim19904,Страх — это кандалы. Надежда — это свобода.,10,good
446,LISTORIA,Сказка для взрослых,,good
447,lazanja,Я не читала Стивена Кинга никогда,,good
448,Hot tequila,Надежда,10,good
449,Charlieatlost,'Надежда никогда не умирает!',10,good
450,Kick-Ass438,'Страх - это кандалы. Надежда - это свобода.',10,good
451,Idalie,,,neutral
452,Undead1989,Записки сумасшедшего,10,good
453,ursulla_grant,Надо выбрать: начать жить или начать умирать.,9,good
454,Rustik-melo,...Нaдeюсь увидeть своeго другa и пожaть eму руку...,10,good
455,makson777,Притча для каждого и каждому,10,good
456,_AGR_,Hope springs eternal,,good
457,Стас Борисенко,,,bad
458,Eterno Amor,"- Монте Кристо. Эта книга о побеге из тюрьмы. - Может, поставить её в раздел Образование? (с)",,good
459,palmikhalich,Свобода,,good
460,shequel,,,good
461,Samy Freeman,"Вы отсидели сорок лет из вашего пожизненного срока. Как вы считаете, вы перевоспитались?",,good
462,Alina_23,самый лучший фильм?,,bad
463,slava_2009,"Твой друг, Питер Стивенс",10,good
464,Ann-Mary,,,neutral
465,G3rbus-Boss,"Побег как спасение, свобода как жизнь заново...",10,good
466,Ванильная_Кошка,,,good
467,Peppy_Nastya,"Делай все, чтобы жить или все, чтобы умереть",10,good
468,Dari Star,"То, что наводит на мысли.",10,good
469,Вахтер Егорыч,Все гениальное просто .,10,good
470,Airin1408,"Пока человек жив, он никогда не должен терять надежды...",,good
